ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
UnsafeThread-1, 512, 0.00000000, 0.00000000, 0.00000000, 0.00660100, 0.00000000, 0.06743200, 0.06761300,0.11010000, 1461344343919
UnsafeThread-2, 512, 0.00000000, 0.00000000, 0.00000000, 0.00689500, 0.00000000, 0.06734400, 0.06754000,0.11007700, 1461344343919
SafeThread-2, 512, 0.06726200, 0.06726200, 0.06726200, 0.00666500, 0.06726200, 0.13621100, 0.13632800,0.18062800, 1461344414219
SafeThread-1, 512, 0.06790200, 0.06790200, 0.06790200, 0.00685300, 0.06790200, 0.13852400, 0.13864000,0.18309300, 1461344416685
UnsafeThread-1, 1024, 0.00000000, 0.00000000, 0.00000000, 0.00705000, 0.00000000, 0.08484500, 0.08503100,0.13125300, 1461344475276
UnsafeThread-2, 1024, 0.00000000, 0.00000000, 0.00000000, 0.00697900, 0.00000000, 0.09110900, 0.09130200,0.13766900, 1461344481648
UnsafeThread-2, 1536, 0.00000000, 0.00000000, 0.00000000, 0.00687400, 0.00000000, 0.09189600, 0.09212200,0.14282000, 1461344624541
UnsafeThread-1, 1536, 0.00000000, 0.00000000, 0.00000000, 0.00660000, 0.00000000, 0.10922500, 0.10942300,0.16027400, 1461344635619
SafeThread-1, 1024, 0.08151300, 0.08151300, 0.08151300, 0.00657500, 0.08151300, 0.16969000, 0.16979200,0.22037900, 1461344637121
SafeThread-2, 1024, 0.08127100, 0.08127100, 0.08127100, 0.00657800, 0.08127100, 0.18245000, 0.18259000,0.23326900, 1461344647548
UnsafeThread-2, 2048, 0.00000000, 0.00000000, 0.00000000, 0.00675400, 0.00000000, 0.14329900, 0.14350600,0.19660900, 1461344821218
UnsafeThread-1, 2048, 0.00000000, 0.00000000, 0.00000000, 0.00662800, 0.00000000, 0.15331400, 0.15351600,0.20691400, 1461344842604
SafeThread-1, 1536, 0.08888700, 0.08888700, 0.08888700, 0.00663800, 0.08888700, 0.21633600, 0.21644300,0.27061800, 1461344907798
SafeThread-2, 1536, 0.08862500, 0.08862500, 0.08862500, 0.00644500, 0.08862500, 0.25669000, 0.25680100,0.31125500, 1461344958874
UnsafeThread-2, 2560, 0.00000000, 0.00000000, 0.00000000, 0.00696400, 0.00000000, 0.15089600, 0.15110800,0.20534800, 1461345026628
UnsafeThread-1, 2560, 0.00000000, 0.00000000, 0.00000000, 0.00669700, 0.00000000, 0.18221200, 0.18242900,0.23695400, 1461345079628
SafeThread-1, 2048, 0.09283000, 0.09283000, 0.09283000, 0.00671300, 0.09283000, 0.23816100, 0.23825600,0.29366500, 1461345201530
UnsafeThread-2, 3072, 0.00000000, 0.00000000, 0.00000000, 0.00690600, 0.00000000, 0.13003200, 0.13024500,0.18532400, 1461345212022
SafeThread-2, 2048, 0.09432300, 0.09432300, 0.09432300, 0.00702600, 0.09432300, 0.27831200, 0.27841500,0.33443100, 1461345293371
UnsafeThread-1, 3072, 0.00000000, 0.00000000, 0.00000000, 0.00705700, 0.00000000, 0.17226700, 0.17251100,0.22820000, 1461345307892
UnsafeThread-2, 3584, 0.00000000, 0.00000000, 0.00000000, 0.00695300, 0.00000000, 0.18075800, 0.18096500,0.23783100, 1461345449912
SafeThread-1, 2560, 0.09654100, 0.09654100, 0.09654100, 0.00692100, 0.09654100, 0.28122700, 0.28133700,0.33865900, 1461345540240
UnsafeThread-1, 3584, 0.00000000, 0.00000000, 0.00000000, 0.00697000, 0.00000000, 0.18765600, 0.18784800,0.24415100, 1461345552118
SafeThread-2, 2560, 0.09588100, 0.09588100, 0.09588100, 0.00718800, 0.09588100, 0.25380200, 0.25391700,0.31063800, 1461345604063
UnsafeThread-2, 4096, 0.00000000, 0.00000000, 0.00000000, 0.00708300, 0.00000000, 0.24296500, 0.24316200,0.29972200, 1461345749700
UnsafeThread-1, 4096, 0.00000000, 0.00000000, 0.00000000, 0.00694000, 0.00000000, 0.25869100, 0.25890200,0.31502600, 1461345867199
SafeThread-1, 3072, 0.09501900, 0.09501900, 0.09501900, 0.00681200, 0.09501900, 0.29860700, 0.29871700,0.35523700, 1461345895547
SafeThread-2, 3072, 0.09556700, 0.09556700, 0.09556700, 0.00694000, 0.09556700, 0.30283700, 0.30295300,0.35968900, 1461345963809
UnsafeThread-2, 4608, 0.00000000, 0.00000000, 0.00000000, 0.00680600, 0.00000000, 0.24545900, 0.24566900,0.30180100, 1461346051557
UnsafeThread-1, 4608, 0.00000000, 0.00000000, 0.00000000, 0.00713900, 0.00000000, 0.19812300, 0.19833400,0.25359500, 1461346120842
SafeThread-1, 3584, 0.09645900, 0.09645900, 0.09645900, 0.00697000, 0.09645900, 0.33890900, 0.33902600,0.39628600, 1461346291886
SafeThread-2, 3584, 0.09621900, 0.09621900, 0.09621900, 0.00705700, 0.09621900, 0.28041900, 0.28052900,0.33766700, 1461346301514
UnsafeThread-2, 5120, 0.00000000, 0.00000000, 0.00000000, 0.00699600, 0.00000000, 0.33015100, 0.33036600,0.38760000, 1461346439202
UnsafeThread-1, 5120, 0.00000000, 0.00000000, 0.00000000, 0.00743000, 0.00000000, 0.26792500, 0.26813800,0.32434800, 1461346445238
SafeThread-1, 4096, 0.09526600, 0.09526600, 0.09526600, 0.00688100, 0.09526600, 0.30434100, 0.30446300,0.36133300, 1461346653265
